rd,Dev,Adv,Wrong,pure_adv,Train
50,0.1,11.098,7.89,5.132,
50,0.2,11.312,8.264,5.392,
50,0.3,11.502,8.624,5.65,
50,0.4,11.782,9.06,5.98,
50,0.5,12.092,9.478,6.318,
50,0.6,12.36,9.858,6.614,
50,0.7,12.604,10.252,6.906,
50,0.8,12.846,10.636,7.196,
50,0.9,13.12,11.066,7.522,
50,1.0,13.392,11.47,7.834,
rd,Dev,Adv,Wrong,pure_adv,Train 
50,0.1,10.13,7.38,3.89,0
50,0.2,10.28,7.69,4.11,0
50,0.3,10.49,8.19,4.4,0
50,0.4,10.6,8.5,4.61,0
50,0.5,10.75,8.9,4.84,0
50,0.6,10.9,9.26,5.07,0
50,0.7,11.26,9.78,5.48,0
50,0.8,11.42,10.11,5.71,0
50,0.9,11.58,10.57,5.97,0
50,1.0,11.86,11.03,6.31,0
