rd,Dev,Adv,Wrong,pure_adv,Train 
30,0.1,12.862,3.544,1.474,
30,0.302040816327,14.134,9.794,4.518,
30,0.504081632653,16.782,15.97,8.34,
30,0.70612244898,20.542,22.192,12.926,
30,0.908163265306,26.142,29.212,18.96,
30,1.11020408163,33.614,37.708,26.712,
30,1.31224489796,42.046,46.73,35.274,
30,1.51428571429,49.666,54.718,42.914,
30,1.71632653061,55.688,60.924,48.924,
30,1.91836734694,61.476,66.858,54.682,
30,2.12040816327,66.89,72.318,60.016,
30,2.32244897959,71.832,77.256,64.886,
30,2.52448979592,76.238,81.604,69.184,
30,2.72653061224,79.696,85.038,72.566,
30,2.92857142857,82.686,87.916,75.422,
30,3.1306122449,85.006,90.12,77.616,
30,3.33265306122,86.95,91.92,79.394,
30,3.53469387755,88.37,93.24,80.696,
30,3.73673469388,89.728,94.46,81.908,
30,3.9387755102,90.84,95.414,82.856,
30,4.14081632653,91.762,96.196,83.632,
30,4.34285714286,92.532,96.85,84.284,
30,4.54489795918,93.226,97.414,84.848,
30,4.74693877551,93.868,97.908,85.34,
30,4.94897959184,94.394,98.282,85.714,
30,5.15102040816,94.856,98.632,86.064,
30,5.35306122449,95.296,98.952,86.384,
30,5.55510204082,95.628,99.186,86.618,
30,5.75714285714,95.928,99.386,86.818,
30,5.95918367347,96.15,99.54,86.972,
30,6.1612244898,96.35,99.654,87.086,
30,6.36326530612,96.548,99.772,87.204,
30,6.56530612245,96.72,99.85,87.282,
30,6.76734693878,96.838,99.89,87.322,
30,6.9693877551,96.952,99.928,87.36,
30,7.17142857143,97.056,99.966,87.398,
30,7.37346938776,97.136,99.986,87.418,
30,7.57551020408,97.19,99.988,87.42,
30,7.77755102041,97.268,99.99,87.422,
30,7.97959183673,97.318,99.996,87.428,
30,8.18163265306,97.352,99.998,87.43,
30,8.38367346939,97.404,100.0,87.432,
30,8.58571428571,97.464,100.0,87.432,
30,8.78775510204,97.506,100.0,87.432,
30,8.98979591837,97.56,100.0,87.432,
30,9.19183673469,97.598,100.0,87.432,
30,9.39387755102,97.64,100.0,87.432,
30,9.59591836735,97.7,100.0,87.432,
30,9.79795918367,97.752,100.0,87.432,
30,10.0,97.784,100.0,87.432,
