rd,Dev,Adv,Wrong,pure_adv,Train
30,0.1,14.082,11.26,8.168,
30,0.2,14.308,11.562,8.412,
30,0.3,14.556,11.894,8.686,
30,0.4,14.73,12.184,8.9,
30,0.5,14.904,12.478,9.118,
30,0.6,15.126,12.788,9.364,
30,0.7,15.33,13.094,9.604,
30,0.8,15.564,13.436,9.864,
30,0.9,15.754,13.726,10.086,
30,1.0,15.982,14.048,10.344,
rd,Dev,Adv,Wrong,pure_adv,Train 
30,0.1,12.77,10.08,6.36,0
30,0.2,12.95,10.34,6.56,0
30,0.3,13.06,10.62,6.73,0
30,0.4,13.35,10.97,7.04,0
30,0.5,13.62,11.41,7.35,0
30,0.6,13.83,11.72,7.59,0
30,0.7,14.02,11.98,7.79,0
30,0.8,14.26,12.34,8.06,0
30,0.9,14.38,12.63,8.23,0
30,1.0,14.63,12.93,8.47,0
