rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
50,0.05,3.65,0.022,3.614,0.022,5.184,0.035,1
50,0.1,11.438,0.079,11.39,0.079,12.816,0.091,1
50,0.15,24.842,0.184,24.756,0.183,26.2,0.196,1
50,0.2,42.41,0.325,42.336,0.324,43.836,0.338,1
50,0.25,59.75,0.474,59.632,0.474,61.056,0.487,1
50,0.3,72.112,0.590,71.984,0.589,73.458,0.603,1
50,0.35,80.636,0.675,80.52,0.674,81.978,0.688,1
50,0.4,87.176,0.741,87.01,0.739,88.408,0.753,1
50,0.45,90.466,0.777,90.328,0.776,91.666,0.789,1
50,0.5,93.008,0.803,92.872,0.801,94.292,0.815,1
50,0.05,3.56,0.022,3.5,0.022,6.3,0.046,0
50,0.1,9.44,0.066,9.35,0.066,12.29,0.092,0
50,0.15,22.2,0.164,22.02,0.163,24.76,0.188,0
50,0.2,40.66,0.310,40.52,0.309,43.25,0.335,0
50,0.25,58.85,0.470,58.68,0.469,61.11,0.492,0
50,0.3,70.95,0.583,70.82,0.582,73.33,0.606,0
50,0.35,80.64,0.681,80.5,0.680,83.28,0.706,0
50,0.4,85.74,0.733,85.53,0.732,88.41,0.759,0
50,0.45,89.5,0.771,89.27,0.769,92.07,0.796,0
50,0.5,91.71,0.793,91.37,0.791,94.48,0.820,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
50,0.05,3.69,0.608,3.652,0.609,5.094,0.669,1
50,0.1,11.652,0.691,11.586,0.692,13.028,0.713,1
50,0.15,24.84,0.737,24.74,0.738,26.182,0.747,1
50,0.2,42.43,0.767,42.33,0.767,43.772,0.772,1
50,0.25,59.586,0.794,59.472,0.794,60.914,0.798,1
50,0.3,72.466,0.819,72.342,0.819,73.784,0.821,1
50,0.35,81.056,0.838,80.92,0.838,82.362,0.840,1
50,0.4,86.65,0.850,86.502,0.851,87.944,0.852,1
50,0.45,90.41,0.859,90.26,0.859,91.702,0.860,1
50,0.5,92.918,0.864,92.758,0.864,94.2,0.865,1
50,0.05,3.38,0.620,3.32,0.622,6.07,0.730,0
50,0.1,10.19,0.703,10.07,0.704,12.82,0.750,0
50,0.15,22.35,0.741,22.22,0.742,24.97,0.763,0
50,0.2,40.78,0.764,40.65,0.764,43.4,0.775,0
50,0.25,57.96,0.795,57.81,0.795,60.56,0.802,0
50,0.3,70.93,0.820,70.78,0.821,73.53,0.825,0
50,0.35,79.87,0.839,79.69,0.840,82.44,0.843,0
50,0.4,85.51,0.854,85.28,0.854,88.03,0.857,0
50,0.45,89.19,0.863,88.93,0.863,91.68,0.865,0
50,0.5,91.79,0.868,91.5,0.868,94.25,0.870,0
