rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
784,0.01,2.426,0.598,2.398,0.600,3.072,0.644,1
784,0.02,8.3,0.684,8.254,0.684,8.928,0.699,1
784,0.03,18.258,0.734,18.196,0.734,18.87,0.740,1
784,0.04,31.73,0.771,31.66,0.771,32.334,0.774,1
784,0.05,47.168,0.799,47.086,0.799,47.76,0.801,1
784,0.06,60.586,0.825,60.496,0.825,61.17,0.826,1
784,0.07,70.808,0.846,70.716,0.846,71.39,0.847,1
784,0.08,78.49,0.861,78.384,0.861,79.058,0.862,1
784,0.09,84.324,0.873,84.21,0.873,84.884,0.874,1
784,0.1,88.46,0.883,88.34,0.883,89.014,0.884,1
784,0.01,2.46,0.618,2.31,0.625,5.23,0.743,0
784,0.02,7.32,0.693,7.07,0.696,9.99,0.750,0
784,0.03,16.48,0.733,16.14,0.734,19.06,0.761,0
784,0.04,29.56,0.771,29.18,0.771,32.1,0.785,0
784,0.05,44.66,0.799,44.25,0.799,47.17,0.807,0
784,0.06,58.44,0.824,58.01,0.824,60.93,0.829,0
784,0.07,68.49,0.848,68.0,0.848,70.92,0.852,0
784,0.08,76.33,0.864,75.8,0.864,78.72,0.867,0
784,0.09,82.37,0.875,81.81,0.876,84.73,0.878,0
784,0.1,86.82,0.884,86.24,0.885,89.16,0.887,0
