rd,Dev,Adv,Wrong,pure_adv,Train
784,0.1,15.166,17.18,11.434,
784,0.2,39.01,42.99,35.956,
784,0.3,65.336,69.68,62.384,
784,0.4,80.552,84.974,77.614,
784,0.5,88.95,93.348,85.972,
784,0.6,92.776,97.13,89.754,
784,0.7,94.63,98.888,91.512,
784,0.8,95.428,99.588,92.212,
784,0.9,95.794,99.878,92.502,
784,1.0,95.944,99.976,92.6,
rd,Dev,Adv,Wrong,pure_adv,Train 
784,0.1,15.6,17.07,10.89,0
784,0.2,38.48,42.47,34.6,0
784,0.3,64.26,69.08,60.7,0
784,0.4,80.19,85.08,76.63,0
784,0.5,88.47,93.38,84.91,0
784,0.6,92.33,97.16,88.69,0
784,0.7,94.01,98.84,90.37,0
784,0.8,94.82,99.57,91.1,0
784,0.9,95.22,99.86,91.39,0
784,1.0,95.36,99.97,91.5,0
