rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
784,0.05,67.046,0.560,66.966,0.560,67.586,0.566,1
784,0.1,95.498,0.861,95.424,0.860,96.082,0.867,1
784,0.15,98.778,0.908,98.654,0.907,99.39,0.914,1
784,0.2,99.348,0.917,99.22,0.915,99.904,0.922,1
784,0.25,99.472,0.918,99.274,0.917,99.97,0.923,1
784,0.3,99.546,0.920,99.362,0.918,99.998,0.924,1
784,0.35,99.516,0.918,99.316,0.916,100.0,0.922,1
784,0.4,99.524,0.916,99.328,0.915,100.0,0.921,1
784,0.45,99.568,0.917,99.34,0.915,100.0,0.921,1
784,0.5,99.53,0.914,99.32,0.913,100.0,0.919,1
784,0.05,64.64,0.541,64.35,0.539,67.13,0.565,0
784,0.1,93.51,0.848,93.07,0.845,96.24,0.875,0
784,0.15,97.1,0.891,96.64,0.887,99.51,0.914,0
784,0.2,97.32,0.898,96.6,0.891,99.83,0.921,0
784,0.25,97.71,0.901,96.98,0.894,99.98,0.922,0
784,0.3,97.86,0.901,97.1,0.895,100.0,0.922,0
784,0.35,97.84,0.902,97.03,0.896,100.0,0.923,0
784,0.4,97.55,0.896,96.77,0.890,100.0,0.920,0
784,0.45,97.72,0.898,96.79,0.890,100.0,0.920,0
784,0.5,98.24,0.903,97.39,0.895,100.0,0.919,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
784,0.05,66.922,0.836,66.846,0.836,67.52,0.838,1
784,0.1,95.494,0.903,95.4,0.903,96.074,0.903,1
784,0.15,98.86,0.918,98.74,0.918,99.414,0.918,1
784,0.2,99.368,0.922,99.228,0.922,99.902,0.922,1
784,0.25,99.46,0.923,99.308,0.923,99.982,0.923,1
784,0.3,99.49,0.923,99.324,0.923,99.998,0.923,1
784,0.35,99.51,0.922,99.326,0.922,100.0,0.922,1
784,0.4,99.518,0.921,99.326,0.921,100.0,0.921,1
784,0.45,99.534,0.920,99.326,0.920,100.0,0.920,1
784,0.5,99.542,0.919,99.326,0.919,100.0,0.919,1
784,0.05,64.51,0.836,64.15,0.836,67.07,0.841,0
784,0.1,93.74,0.905,93.27,0.905,96.19,0.907,0
784,0.15,96.94,0.920,96.42,0.920,99.34,0.921,0
784,0.2,97.56,0.923,96.95,0.923,99.87,0.923,0
784,0.25,97.81,0.923,97.07,0.924,99.99,0.924,0
784,0.3,97.87,0.922,97.08,0.922,100.0,0.923,0
784,0.35,97.92,0.921,97.08,0.921,100.0,0.921,0
784,0.4,97.96,0.919,97.08,0.919,100.0,0.920,0
784,0.45,98.0,0.918,97.08,0.919,100.0,0.919,0
784,0.5,98.04,0.918,97.08,0.918,100.0,0.918,0
