rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
331,0.01,2.698,0.615,2.684,0.616,3.204,0.649,1
331,0.02,9.054,0.707,9.038,0.708,9.558,0.718,1
331,0.03,19.896,0.757,19.874,0.757,20.394,0.761,1
331,0.04,35.474,0.787,35.45,0.787,35.97,0.789,1
331,0.05,51.85,0.818,51.82,0.818,52.34,0.820,1
331,0.06,65.142,0.846,65.108,0.846,65.628,0.846,1
331,0.07,75.012,0.866,74.976,0.866,75.496,0.866,1
331,0.08,82.366,0.880,82.326,0.880,82.846,0.880,1
331,0.09,87.792,0.890,87.752,0.890,88.272,0.890,1
331,0.1,91.46,0.898,91.412,0.898,91.932,0.899,1
331,0.01,2.8,0.636,2.74,0.640,5.01,0.747,0
331,0.02,8.16,0.721,8.09,0.723,10.36,0.767,0
331,0.03,17.66,0.761,17.58,0.762,19.85,0.783,0
331,0.04,33.32,0.783,33.24,0.784,35.51,0.794,0
331,0.05,49.28,0.816,49.18,0.816,51.45,0.822,0
331,0.06,62.77,0.844,62.65,0.844,64.92,0.848,0
331,0.07,72.74,0.865,72.62,0.865,74.89,0.868,0
331,0.08,80.09,0.880,79.96,0.880,82.23,0.882,0
331,0.09,85.58,0.890,85.45,0.890,87.72,0.892,0
331,0.1,89.22,0.899,89.07,0.900,91.34,0.901,0
