N_COMP,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
30,0.05,2.54,0.015,2.512,0.015,4.392,0.029,1
30,0.1,7.622,0.050,7.522,0.049,9.38,0.065,1
30,0.15,15.288,0.107,15.16,0.107,17.09,0.124,1
30,0.2,26.774,0.196,26.606,0.195,28.446,0.211,1
30,0.25,39.296,0.295,39.14,0.294,40.91,0.310,1
30,0.3,51.974,0.399,51.82,0.398,53.668,0.415,1
30,0.35,62.456,0.490,62.3,0.489,64.054,0.506,1
30,0.4,70.884,0.567,70.684,0.566,72.504,0.582,1
30,0.45,77.53,0.628,77.278,0.626,79.23,0.644,1
30,0.5,81.922,0.671,81.694,0.669,83.606,0.687,1
30,0.05,2.85,0.017,2.71,0.016,5.57,0.039,0
30,0.1,6.97,0.047,6.72,0.045,9.63,0.071,0
30,0.15,14.04,0.099,13.87,0.098,16.55,0.122,0
30,0.2,24.63,0.181,24.41,0.180,27.07,0.204,0
30,0.25,38.65,0.291,38.49,0.290,41.0,0.313,0
30,0.3,50.97,0.393,50.75,0.391,53.46,0.416,0
30,0.35,62.14,0.491,61.9,0.490,64.67,0.516,0
30,0.4,69.54,0.561,69.32,0.559,72.15,0.586,0
30,0.45,75.74,0.618,75.39,0.615,78.12,0.641,0
30,0.5,80.23,0.663,79.89,0.660,82.74,0.686,0
