rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train
331,0.01,2.830,0.636,0.967,2.114,0.580,0.965,2.098,0.581,0.967,1
331,0.02,7.598,0.684,0.948,6.894,0.664,0.948,6.866,0.664,0.948,1
331,0.03,15.188,0.729,0.924,14.498,0.720,0.924,14.456,0.720,0.924,1
331,0.04,26.022,0.762,0.897,25.332,0.757,0.897,25.29,0.757,0.897,1
331,0.05,38.970,0.790,0.867,38.284,0.787,0.868,38.238,0.787,0.867,1
331,0.06,52.828,0.812,0.844,52.146,0.810,0.846,52.096,0.810,0.844,1
331,0.07,65.182,0.833,0.830,64.504,0.832,0.832,64.45,0.832,0.830,1
331,0.08,74.608,0.852,0.817,73.934,0.851,0.821,73.876,0.852,0.817,1
331,0.09,81.572,0.868,0.804,80.9,0.867,0.810,80.84,0.868,0.804,1
331,0.1,86.832,0.880,0.796,86.166,0.879,0.805,86.1,0.879,0.796,1
331,0.01,4.950,0.733,0.972,2.22,0.584,0.968,2.15,0.588,0.972,1
331,0.02,8.550,0.750,0.954,5.88,0.674,0.953,5.75,0.677,0.954,1
331,0.03,15.120,0.755,0.930,12.45,0.716,0.930,12.32,0.717,0.930,1
331,0.04,24.870,0.774,0.900,22.21,0.753,0.901,22.07,0.754,0.900,1
331,0.05,37.660,0.793,0.868,35.02,0.781,0.871,34.86,0.781,0.868,1
331,0.06,51.710,0.813,0.842,49.09,0.805,0.848,48.91,0.805,0.842,1
331,0.07,64.590,0.832,0.830,61.97,0.827,0.839,61.79,0.827,0.830,1
331,0.08,74.180,0.853,0.819,71.62,0.849,0.832,71.38,0.849,0.819,1
331,0.09,81.140,0.869,0.803,78.6,0.866,0.822,78.34,0.867,0.803,1
331,0.1,86.800,0.879,0.806,84.26,0.877,0.831,84.0,0.877,0.806,1
rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
