N_COMP,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
10,0.05,3.012,0.016,2.91,0.015,9.07,0.061,1
10,0.1,6.802,0.040,6.608,0.039,12.77,0.088,1
10,0.15,11.604,0.073,11.328,0.072,17.468,0.123,1
10,0.2,17.18,0.114,16.88,0.112,22.854,0.164,1
10,0.25,23.176,0.161,22.86,0.159,28.992,0.213,1
10,0.3,29.79,0.211,29.464,0.209,35.614,0.264,1
10,0.35,36.91,0.269,36.424,0.265,42.626,0.321,1
10,0.4,43.77,0.322,43.224,0.318,49.414,0.373,1
10,0.45,50.98,0.380,50.422,0.376,56.626,0.431,1
10,0.5,56.796,0.425,56.076,0.421,62.152,0.475,1
10,0.05,3.2,0.016,3.09,0.016,9.89,0.068,0
10,0.1,5.95,0.035,5.73,0.034,12.29,0.087,0
10,0.15,10.4,0.065,10.01,0.063,16.66,0.119,0
10,0.2,16.56,0.111,16.14,0.108,22.86,0.167,0
10,0.25,22.91,0.158,22.53,0.156,29.66,0.219,0
10,0.3,28.19,0.202,27.75,0.198,34.3,0.257,0
10,0.35,36.33,0.263,35.68,0.259,42.93,0.324,0
10,0.4,42.25,0.313,41.67,0.308,48.81,0.373,0
10,0.45,50.17,0.373,49.48,0.368,56.4,0.431,0
10,0.5,56.96,0.428,56.2,0.422,63.19,0.485,0
