rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
50,0.01,1.254,0.551,1.214,0.556,3.466,0.703,1
50,0.02,3.188,0.616,3.112,0.619,5.364,0.712,1
50,0.03,5.71,0.669,5.616,0.671,7.868,0.729,1
50,0.04,9.048,0.705,8.916,0.706,11.168,0.744,1
50,0.05,13.306,0.730,13.15,0.731,15.402,0.757,1
50,0.06,18.596,0.750,18.42,0.751,20.672,0.768,1
50,0.07,24.944,0.764,24.756,0.764,27.008,0.777,1
50,0.08,32.084,0.777,31.868,0.778,34.12,0.787,1
50,0.09,39.658,0.790,39.43,0.791,41.682,0.798,1
50,0.1,47.124,0.804,46.886,0.804,49.138,0.810,1
50,0.01,1.18,0.547,1.08,0.554,3.93,0.740,0
50,0.02,3.03,0.618,2.91,0.619,5.76,0.741,0
50,0.03,5.38,0.675,5.2,0.677,8.05,0.755,0
50,0.04,8.09,0.714,7.87,0.716,10.72,0.769,0
50,0.05,12.04,0.733,11.77,0.734,14.62,0.772,0
50,0.06,17.33,0.748,17.03,0.748,19.88,0.776,0
50,0.07,23.4,0.765,23.1,0.765,25.95,0.785,0
50,0.08,30.52,0.777,30.2,0.777,33.05,0.792,0
50,0.09,37.76,0.792,37.44,0.792,40.29,0.803,0
50,0.1,45.15,0.805,44.81,0.805,47.66,0.814,0
