N_COMP,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
20,0.05,2.464,0.014,2.402,0.013,4.812,0.032,1
20,0.1,6.148,0.039,6.054,0.038,8.552,0.059,1
20,0.15,12.004,0.082,11.896,0.081,14.276,0.102,1
20,0.2,19.416,0.139,19.276,0.138,21.78,0.161,1
20,0.25,28.538,0.211,28.398,0.210,30.746,0.232,1
20,0.3,38.148,0.290,37.966,0.289,40.448,0.311,1
20,0.35,48.718,0.376,48.524,0.375,50.892,0.396,1
20,0.4,57.282,0.451,57.084,0.449,59.608,0.472,1
20,0.45,64.53,0.515,64.296,0.513,66.842,0.536,1
20,0.5,71.116,0.574,70.88,0.572,73.32,0.594,1
20,0.05,2.25,0.013,2.19,0.013,5.51,0.039,0
20,0.1,5.46,0.035,5.39,0.034,8.27,0.060,0
20,0.15,10.89,0.075,10.84,0.075,13.74,0.101,0
20,0.2,17.39,0.124,17.24,0.123,20.2,0.150,0
20,0.25,26.62,0.195,26.42,0.194,29.66,0.223,0
20,0.3,36.38,0.277,36.21,0.276,39.15,0.303,0
20,0.35,47.09,0.361,46.89,0.360,49.93,0.387,0
20,0.4,55.34,0.436,55.15,0.435,58.09,0.462,0
20,0.45,63.46,0.508,63.21,0.506,66.33,0.535,0
20,0.5,70.21,0.568,70.01,0.567,73.13,0.596,0
