784 0.05 69.04 0.834849688629
784 0.1 96.844 0.906511868541
784 0.15 99.158 0.921374979277
784 0.2 99.37 0.925458716994
784 0.25 99.462 0.926645364313
784 0.3 99.502 0.926522328776
784 0.35 99.512 0.92334847254
784 0.4 99.494 0.922972809491
784 0.45 99.526 0.922027783772
784 0.5 99.494 0.921015089142
784 0.05 68.936 0.860224447785
784 0.1 89.09 0.916587257168
784 0.15 91.404 0.929859371231
784 0.2 91.748 0.933523263428
784 0.25 91.976 0.933461283458
784 0.3 92.338 0.93278691505
784 0.35 92.56 0.929779310578
784 0.4 92.714 0.929757083876
784 0.45 92.724 0.929252968364
784 0.5 92.882 0.927874324656
N_COMP,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
784,0.05,68.046,0.570,67.934,0.569,68.912,0.578,1
784,0.1,95.886,0.870,95.754,0.869,96.838,0.879,1
784,0.15,98.736,0.907,98.574,0.906,99.574,0.915,1
784,0.2,99.126,0.914,98.944,0.913,99.944,0.922,1
784,0.25,99.174,0.917,98.998,0.916,99.968,0.925,1
784,0.3,99.206,0.918,99.02,0.917,99.994,0.926,1
784,0.35,99.208,0.917,98.946,0.915,100.0,0.925,1
784,0.4,99.254,0.918,99.012,0.916,100.0,0.925,1
784,0.45,99.262,0.917,98.97,0.914,100.0,0.924,1
784,0.5,99.26,0.917,98.918,0.914,100.0,0.924,1
784,0.05,65.28,0.544,65.03,0.542,67.58,0.567,0
784,0.1,94.3,0.857,94.04,0.854,96.82,0.881,0
784,0.15,97.3,0.895,96.96,0.892,99.58,0.917,0
784,0.2,97.75,0.903,97.16,0.899,99.82,0.924,0
784,0.25,97.8,0.902,97.18,0.897,99.97,0.924,0
784,0.3,97.67,0.901,97.13,0.897,100.0,0.924,0
784,0.35,97.98,0.906,97.38,0.901,100.0,0.925,0
784,0.4,97.61,0.901,96.81,0.895,100.0,0.925,0
784,0.45,98.04,0.906,97.32,0.900,100.0,0.925,0
784,0.5,97.99,0.904,96.94,0.896,100.0,0.924,0
N_COMP,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
784,0.05,69.136,0.584,69.028,0.583,69.706,0.589,1
784,0.1,96.772,0.882,96.654,0.881,97.382,0.888,1
784,0.15,99.114,0.914,98.946,0.913,99.634,0.919,1
784,0.2,99.476,0.917,99.222,0.915,99.94,0.922,1
784,0.25,99.534,0.916,99.224,0.914,99.996,0.921,1
784,0.3,99.57,0.916,99.266,0.913,100.0,0.920,1
784,0.35,99.598,0.917,99.316,0.915,100.0,0.921,1
784,0.4,99.63,0.916,99.352,0.914,100.0,0.920,1
784,0.45,99.612,0.915,99.278,0.912,100.0,0.919,1
784,0.5,99.59,0.916,99.214,0.912,100.0,0.920,1
784,0.05,66.66,0.564,66.43,0.562,69.43,0.591,0
784,0.1,95.03,0.867,94.63,0.864,97.41,0.890,0
784,0.15,97.16,0.896,96.56,0.891,99.56,0.920,0
784,0.2,97.71,0.903,97.18,0.898,99.97,0.925,0
784,0.25,97.79,0.902,97.23,0.898,100.0,0.924,0
784,0.3,98.07,0.907,97.45,0.902,100.0,0.926,0
784,0.35,98.23,0.903,97.34,0.895,100.0,0.920,0
784,0.4,98.14,0.902,97.36,0.895,100.0,0.920,0
784,0.45,98.24,0.901,97.16,0.891,100.0,0.918,0
784,0.5,98.16,0.900,97.13,0.891,100.0,0.918,0
