rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
500,0.05,68.2,0.837,68.2,0.837,68.4,0.838,1
500,0.1,71.2,0.854,71.2,0.854,71.4,0.854,1
500,0.15,70.4,0.894,70.4,0.894,70.6,0.894,1
500,0.2,70.0,0.905,70.0,0.905,70.2,0.905,1
500,0.25,68.4,0.911,68.4,0.911,68.6,0.911,1
500,0.3,70.6,0.921,70.6,0.921,70.8,0.921,1
500,0.35,71.6,0.933,71.6,0.933,71.8,0.934,1
500,0.4,71.2,0.954,71.0,0.954,71.2,0.954,1
500,0.45,72.4,0.951,72.4,0.951,72.6,0.951,1
500,0.5,73.4,0.949,73.4,0.949,73.6,0.949,1
500,0.05,55.0,0.893,49.0,0.893,71.0,0.890,0
500,0.1,63.0,0.900,54.0,0.896,75.0,0.909,0
500,0.15,69.0,0.862,56.0,0.867,78.0,0.872,0
500,0.2,67.0,0.905,53.0,0.893,74.0,0.915,0
500,0.25,67.0,0.910,54.0,0.913,75.0,0.919,0
500,0.3,68.0,0.941,51.0,0.936,72.0,0.945,0
500,0.35,70.0,0.959,54.0,0.961,75.0,0.955,0
500,0.4,75.0,0.953,56.0,0.949,74.0,0.960,0
500,0.45,75.0,0.949,55.0,0.951,74.0,0.950,0
500,0.5,80.0,0.953,62.0,0.940,81.0,0.954,0
