155,0.1,5.02205632847,5.70071258907,3.63081099423,0
155,0.2,10.4173736003,9.67085171361,8.27960637937,0
155,0.3,16.9664065151,15.5751611809,14.4893111639,0
155,0.4,24.737020699,22.7689175433,21.9545300305,0
155,0.5,33.3898880217,30.8788598575,30.335934849,0
155,0.6,43.0607397353,40.447913132,39.9389209365,0
155,0.7,51.2724804886,48.5578554462,48.0827960638,0
155,0.8,60.5022056328,57.6179165253,57.2446555819,0
155,0.9,67.9674244995,65.0152697659,64.7098744486,0
155,1.0,74.3467933492,71.3267729895,71.0553104852,0
