rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
10,0.01,1.788,0.478,1.536,0.488,18.748,0.732,1
10,0.02,3.692,0.517,3.182,0.528,20.372,0.737,1
10,0.03,5.746,0.552,4.96,0.564,22.128,0.741,1
10,0.04,7.99,0.581,6.926,0.593,24.08,0.744,1
10,0.05,10.178,0.610,8.848,0.622,25.984,0.749,1
10,0.06,12.554,0.634,10.966,0.645,28.096,0.753,1
10,0.07,15.172,0.653,13.312,0.664,30.438,0.757,1
10,0.08,17.91,0.669,15.81,0.679,32.922,0.760,1
10,0.09,20.588,0.685,18.232,0.694,35.34,0.764,1
10,0.1,23.632,0.697,21.016,0.705,38.114,0.766,1
10,0.01,1.91,0.489,1.71,0.496,18.0,0.738,0
10,0.02,4.05,0.522,3.53,0.532,19.81,0.739,0
10,0.03,5.8,0.560,5.06,0.571,21.33,0.746,0
10,0.04,7.95,0.590,6.95,0.600,23.21,0.749,0
10,0.05,10.37,0.613,9.09,0.623,25.29,0.752,0
10,0.06,12.83,0.636,11.33,0.646,27.55,0.755,0
10,0.07,15.6,0.654,13.85,0.662,30.05,0.757,0
10,0.08,18.28,0.672,16.29,0.680,32.49,0.761,0
10,0.09,21.22,0.685,18.96,0.693,35.16,0.764,0
10,0.1,23.79,0.702,21.36,0.710,37.55,0.770,0
