rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
30,0.05,2.61,0.015,2.588,0.015,4.358,0.029,1
30,0.1,7.272,0.048,7.202,0.047,9.004,0.063,1
30,0.15,14.418,0.102,14.32,0.101,16.202,0.118,1
30,0.2,24.596,0.181,24.498,0.181,26.294,0.197,1
30,0.25,37.618,0.284,37.484,0.283,39.304,0.300,1
30,0.3,49.952,0.386,49.756,0.385,51.524,0.401,1
30,0.35,60.766,0.482,60.594,0.481,62.412,0.497,1
30,0.4,70.384,0.568,70.186,0.567,71.948,0.583,1
30,0.45,76.918,0.628,76.726,0.627,78.496,0.643,1
30,0.5,82.0,0.676,81.814,0.675,83.618,0.692,1
30,0.05,2.35,0.014,2.28,0.013,5.35,0.038,0
30,0.1,6.59,0.043,6.49,0.042,9.41,0.069,0
30,0.15,13.4,0.095,13.24,0.094,15.86,0.118,0
30,0.2,23.14,0.172,22.91,0.170,25.75,0.196,0
30,0.25,35.83,0.272,35.58,0.271,38.19,0.295,0
30,0.3,47.68,0.372,47.49,0.371,50.08,0.395,0
30,0.35,59.69,0.474,59.45,0.472,62.09,0.497,0
30,0.4,68.98,0.555,68.81,0.554,71.84,0.583,0
30,0.45,76.18,0.623,75.93,0.621,78.67,0.647,0
30,0.5,80.9,0.668,80.61,0.666,83.44,0.692,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
30,1.0,82.974,0.696,81.556,0.684,83.112,0.697,1
30,2.0,86.244,0.717,84.872,0.706,86.466,0.719,1
30,3.0,89.568,0.739,88.218,0.728,89.842,0.741,1
30,4.0,92.074,0.757,90.74,0.746,92.394,0.760,1
30,5.0,93.746,0.770,92.414,0.759,94.076,0.773,1
30,6.0,94.806,0.778,93.476,0.767,95.152,0.781,1
30,7.0,95.63,0.784,94.286,0.773,95.974,0.787,1
30,8.0,96.108,0.788,94.76,0.777,96.456,0.791,1
30,9.0,96.432,0.790,95.072,0.779,96.772,0.793,1
30,10.0,96.772,0.792,95.39,0.780,97.098,0.795,1
30,1.0,82.71,0.690,80.47,0.671,82.94,0.692,0
30,2.0,85.81,0.711,83.66,0.693,86.2,0.715,0
30,3.0,89.17,0.733,87.08,0.716,89.68,0.737,0
30,4.0,91.69,0.751,89.6,0.734,92.21,0.756,0
30,5.0,93.36,0.764,91.28,0.747,93.93,0.769,0
30,6.0,94.51,0.773,92.43,0.756,95.08,0.778,0
30,7.0,95.29,0.778,93.24,0.762,95.9,0.783,0
30,8.0,95.83,0.782,93.78,0.766,96.44,0.787,0
30,9.0,96.15,0.785,94.1,0.769,96.77,0.790,0
30,10.0,96.41,0.787,94.38,0.771,97.07,0.792,0
