rd,Dev,Adv,Wrong,pure_adv,Train
10,0.1,24.822,23.042,18.992,
10,0.2,25.0,23.248,19.18,
10,0.3,25.168,23.446,19.348,
10,0.4,25.33,23.646,19.52,
10,0.5,25.498,23.86,19.702,
10,0.6,25.686,24.084,19.9,
10,0.7,25.85,24.292,20.076,
10,0.8,26.046,24.528,20.282,
10,0.9,26.214,24.75,20.46,
10,1.0,26.35,24.914,20.602,
rd,Dev,Adv,Wrong,pure_adv,Train 
10,0.1,23.75,22.09,17.27,0
10,0.2,23.9,22.27,17.43,0
10,0.3,24.04,22.46,17.59,0
10,0.4,24.22,22.73,17.8,0
10,0.5,24.37,22.93,17.95,0
10,0.6,24.57,23.16,18.15,0
10,0.7,24.77,23.38,18.35,0
10,0.8,24.95,23.57,18.53,0
10,0.9,25.16,23.8,18.74,0
10,1.0,25.31,24.0,18.91,0
