rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
20,0.05,2.388,0.013,2.316,0.013,4.764,0.032,1
20,0.1,6.024,0.038,5.92,0.037,8.468,0.059,1
20,0.15,11.928,0.081,11.812,0.080,14.316,0.102,1
20,0.2,19.676,0.140,19.506,0.139,21.95,0.161,1
20,0.25,29.48,0.217,29.292,0.216,31.7,0.238,1
20,0.3,39.058,0.295,38.878,0.293,41.384,0.316,1
20,0.35,49.412,0.381,49.246,0.380,51.648,0.402,1
20,0.4,58.196,0.458,58.01,0.457,60.318,0.478,1
20,0.45,65.356,0.521,65.092,0.519,67.456,0.541,1
20,0.5,71.082,0.573,70.842,0.571,73.212,0.593,1
20,0.05,2.39,0.014,2.37,0.014,5.51,0.039,0
20,0.1,5.8,0.038,5.74,0.038,9.16,0.067,0
20,0.15,10.57,0.073,10.53,0.073,13.38,0.098,0
20,0.2,18.17,0.131,18.12,0.130,21.11,0.158,0
20,0.25,28.03,0.207,28.0,0.207,31.03,0.235,0
20,0.3,37.71,0.284,37.6,0.283,40.45,0.309,0
20,0.35,48.0,0.371,47.9,0.370,50.99,0.399,0
20,0.4,56.78,0.449,56.66,0.448,59.82,0.477,0
20,0.45,64.56,0.516,64.44,0.515,67.37,0.542,0
20,0.5,69.79,0.566,69.47,0.564,72.7,0.593,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
20,0.05,2.376,0.548,2.308,0.551,4.718,0.668,1
20,0.1,6.234,0.624,6.128,0.627,8.538,0.689,1
20,0.15,11.996,0.677,11.868,0.678,14.278,0.712,1
20,0.2,19.838,0.711,19.686,0.712,22.096,0.733,1
20,0.25,29.244,0.738,29.076,0.738,31.486,0.751,1
20,0.3,39.552,0.756,39.374,0.756,41.784,0.765,1
20,0.35,49.44,0.772,49.24,0.772,51.65,0.779,1
20,0.4,57.948,0.787,57.736,0.787,60.146,0.792,1
20,0.45,65.186,0.798,64.956,0.798,67.366,0.802,1
20,0.5,71.154,0.806,70.908,0.806,73.318,0.810,1
20,0.05,2.26,0.572,2.23,0.574,5.35,0.708,0
20,0.1,5.62,0.645,5.58,0.646,8.7,0.725,0
20,0.15,10.92,0.687,10.88,0.688,14.0,0.734,0
20,0.2,18.21,0.717,18.16,0.717,21.28,0.746,0
20,0.25,27.41,0.740,27.33,0.741,30.45,0.759,0
20,0.3,37.98,0.756,37.87,0.756,40.99,0.769,0
20,0.35,47.64,0.775,47.52,0.775,50.64,0.784,0
20,0.4,56.26,0.790,56.12,0.790,59.24,0.797,0
20,0.45,63.75,0.801,63.57,0.801,66.69,0.807,0
20,0.5,69.37,0.812,69.19,0.813,72.31,0.818,0
