rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
40,0.01,0.744,0.517,0.72,0.521,2.348,0.651,1
40,0.02,1.814,0.565,1.776,0.567,3.404,0.659,1
40,0.03,3.172,0.605,3.12,0.607,4.748,0.672,1
40,0.04,5.102,0.634,5.032,0.635,6.66,0.681,1
40,0.05,7.486,0.659,7.382,0.661,9.01,0.694,1
40,0.06,10.468,0.681,10.346,0.682,11.974,0.706,1
40,0.07,13.89,0.701,13.756,0.702,15.384,0.719,1
40,0.08,17.682,0.719,17.53,0.720,19.158,0.733,1
40,0.09,22.03,0.732,21.864,0.733,23.492,0.743,1
40,0.1,26.768,0.744,26.588,0.744,28.216,0.753,1
40,0.01,0.82,0.510,0.78,0.516,3.54,0.707,0
40,0.02,2.0,0.563,1.9,0.567,4.66,0.707,0
40,0.03,3.44,0.604,3.3,0.607,6.06,0.710,0
40,0.04,4.87,0.648,4.71,0.650,7.47,0.725,0
40,0.05,7.04,0.670,6.84,0.671,9.6,0.728,0
40,0.06,9.92,0.685,9.69,0.685,12.45,0.728,0
40,0.07,12.94,0.706,12.67,0.707,15.43,0.739,0
40,0.08,16.85,0.718,16.58,0.719,19.34,0.743,0
40,0.09,21.04,0.734,20.73,0.735,23.49,0.754,0
40,0.1,25.39,0.749,25.06,0.749,27.82,0.764,0
