rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
100,0.01,1.834,0.633,0.974,0.724,0.505,0.971,0.706,0.507,0.974,1
100,0.02,2.972,0.643,0.967,1.87,0.562,0.965,1.844,0.563,0.967,1
100,0.03,4.498,0.661,0.960,3.402,0.608,0.958,3.37,0.609,0.960,1
100,0.04,6.378,0.683,0.951,5.292,0.646,0.950,5.25,0.647,0.951,1
100,0.05,8.906,0.697,0.941,7.826,0.671,0.940,7.778,0.672,0.941,1
100,0.06,12.020,0.711,0.930,10.954,0.692,0.930,10.892,0.693,0.930,1
100,0.07,15.630,0.725,0.917,14.568,0.711,0.917,14.502,0.712,0.917,1
100,0.08,20.084,0.737,0.905,19.024,0.726,0.906,18.956,0.727,0.905,1
100,0.09,25.004,0.749,0.893,23.946,0.741,0.894,23.876,0.742,0.893,1
100,0.1,30.230,0.762,0.880,29.176,0.755,0.881,29.102,0.756,0.880,1
100,0.01,3.390,0.709,0.976,0.84,0.511,0.971,0.81,0.513,0.976,1
100,0.02,4.400,0.716,0.971,1.87,0.565,0.967,1.82,0.567,0.971,1
100,0.03,5.760,0.721,0.964,3.25,0.609,0.961,3.18,0.611,0.964,1
100,0.04,7.440,0.731,0.955,4.95,0.650,0.953,4.86,0.652,0.955,1
100,0.05,9.630,0.736,0.945,7.15,0.676,0.944,7.05,0.678,0.945,1
100,0.06,12.070,0.747,0.932,9.6,0.702,0.932,9.49,0.703,0.932,1
100,0.07,15.860,0.745,0.922,13.39,0.711,0.922,13.28,0.712,0.922,1
100,0.08,19.830,0.754,0.908,17.36,0.728,0.909,17.25,0.729,0.908,1
100,0.09,24.650,0.760,0.896,22.18,0.741,0.897,22.07,0.741,0.896,1
100,0.1,29.730,0.771,0.882,27.29,0.755,0.884,27.15,0.755,0.882,1
rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
