50,0.1,11.098,0.366,0.272,0.020,1
50,0.2,11.312,0.758,0.570,0.039,1
50,0.3,11.502,1.13,0.862,0.059,1
50,0.4,11.782,1.584,1.235,0.078,1
50,0.5,12.092,2.02,1.619,0.098,1
50,0.6,12.36,2.418,1.953,0.117,1
50,0.7,12.604,2.834,2.283,0.137,1
50,0.8,12.846,3.24,2.611,0.156,1
50,0.9,13.12,3.682,2.977,0.176,1
50,1.0,13.392,4.116,3.329,0.195,1
50,0.1,10.13,0.31,0.233,0.019,0
50,0.2,10.28,0.63,0.478,0.039,0
50,0.3,10.49,1.17,0.811,0.058,0
50,0.4,10.6,1.49,1.044,0.078,0
50,0.5,10.75,1.9,1.299,0.097,0
50,0.6,10.9,2.28,1.566,0.117,0
50,0.7,11.26,2.83,2.021,0.136,0
50,0.8,11.42,3.19,2.277,0.156,0
50,0.9,11.58,3.66,2.576,0.175,0
50,1.0,11.86,4.12,2.954,0.195,0
