30,0.1,29.0,0.208,28.236,0.202,32.516,0.239,1
30,0.144444444444,47.668,0.353,46.718,0.346,50.998,0.383,1
30,0.188888888889,62.742,0.481,61.604,0.472,65.884,0.509,1
30,0.233333333333,73.28,0.575,72.048,0.566,76.328,0.603,1
30,0.277777777778,80.37,0.641,78.964,0.630,83.244,0.667,1
30,0.322222222222,85.29,0.685,83.758,0.673,88.038,0.710,1
30,0.366666666667,88.55,0.715,86.936,0.703,91.216,0.739,1
30,0.411111111111,90.57,0.736,88.818,0.722,93.098,0.758,1
30,0.455555555556,92.278,0.752,90.476,0.738,94.756,0.774,1
30,0.5,93.398,0.760,91.482,0.745,95.762,0.782,1
30,0.1,27.59,0.199,26.84,0.194,31.37,0.233,1
