rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
50,0.05,2.358,0.011,2.212,0.010,7.198,0.042,1
50,0.1,5.438,0.028,5.108,0.027,10.12,0.061,1
50,0.15,9.46,0.052,9.016,0.050,13.732,0.084,1
50,0.2,14.926,0.087,14.396,0.084,19.422,0.122,1
50,0.25,21.472,0.130,20.816,0.127,25.878,0.166,1
50,0.3,28.906,0.181,28.162,0.177,32.894,0.214,1
50,0.35,37.022,0.238,36.158,0.233,41.062,0.272,1
50,0.4,44.976,0.296,44.018,0.289,49.004,0.330,1
50,0.45,52.926,0.353,51.982,0.347,56.778,0.386,1
50,0.5,60.752,0.409,59.746,0.403,64.586,0.442,1
50,0.05,2.24,0.011,2.16,0.010,6.83,0.041,0
50,0.1,5.26,0.027,5.0,0.026,9.9,0.061,0
50,0.15,9.64,0.054,9.26,0.052,13.79,0.086,0
50,0.2,14.43,0.085,14.05,0.083,18.52,0.118,0
50,0.25,21.23,0.130,20.58,0.126,25.44,0.163,0
50,0.3,28.26,0.180,27.59,0.176,32.79,0.218,0
50,0.35,37.28,0.243,36.51,0.239,41.08,0.275,0
50,0.4,44.05,0.292,43.3,0.287,47.96,0.326,0
50,0.45,52.54,0.355,51.56,0.349,56.11,0.386,0
50,0.5,59.03,0.402,58.15,0.396,62.71,0.434,0
