rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
784,0.01,0.7,0.743,0.7,0.743,2.0,0.900,0
784,0.02,1.9,0.789,1.9,0.789,3.2,0.874,0
784,0.03,4.3,0.822,4.3,0.822,5.6,0.863,0
784,0.04,5.9,0.884,5.9,0.884,7.2,0.905,0
784,0.05,8.5,0.893,8.5,0.893,9.8,0.907,0
784,0.06,13.4,0.878,13.4,0.878,14.7,0.889,0
784,0.07,18.8,0.891,18.8,0.891,20.1,0.898,0
784,0.08,24.3,0.914,24.3,0.914,25.6,0.918,0
784,0.09,30.4,0.916,30.4,0.916,31.7,0.920,0
784,0.1,38.3,0.913,38.3,0.913,39.6,0.916,0
rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
784,0.05,8.5,0.893,8.5,0.893,9.8,0.907,0
784,0.1,38.3,0.913,38.3,0.913,39.6,0.916,0
784,0.15,69.6,0.942,69.6,0.942,70.9,0.943,0
784,0.2,88.0,0.955,88.0,0.955,89.3,0.956,0
784,0.25,93.3,0.955,93.3,0.955,94.6,0.955,0
784,0.3,95.6,0.954,95.5,0.954,96.8,0.955,0
784,0.35,96.6,0.946,96.3,0.947,97.6,0.947,0
784,0.4,97.0,0.948,96.7,0.949,98.0,0.949,0
784,0.45,97.4,0.944,97.1,0.944,98.4,0.945,0
784,0.5,97.6,0.941,97.3,0.941,98.6,0.941,0
