rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
40,0.05,1.916,0.009,1.778,0.008,6.754,0.040,1
40,0.1,4.762,0.024,4.466,0.023,9.558,0.057,1
40,0.15,8.12,0.044,7.762,0.042,12.684,0.077,1
40,0.2,12.624,0.071,12.16,0.069,16.978,0.105,1
40,0.25,18.174,0.107,17.524,0.104,22.708,0.143,1
40,0.3,24.09,0.147,23.458,0.144,28.232,0.181,1
40,0.35,31.29,0.197,30.484,0.192,35.548,0.232,1
40,0.4,38.468,0.248,37.614,0.243,42.564,0.282,1
40,0.45,45.584,0.299,44.666,0.293,49.532,0.333,1
40,0.5,53.038,0.352,52.03,0.346,56.906,0.385,1
40,0.05,2.02,0.009,1.95,0.009,7.04,0.041,0
40,0.1,4.6,0.023,4.43,0.022,8.97,0.054,0
40,0.15,7.86,0.043,7.59,0.042,12.47,0.078,0
40,0.2,12.72,0.073,12.37,0.071,16.98,0.107,0
40,0.25,17.57,0.104,17.14,0.102,21.72,0.138,0
40,0.3,24.58,0.152,23.83,0.148,28.92,0.187,0
40,0.35,30.84,0.197,30.16,0.193,35.28,0.235,0
40,0.4,38.36,0.253,37.65,0.248,42.35,0.286,0
40,0.45,44.47,0.294,43.76,0.290,48.45,0.329,0
40,0.5,52.68,0.356,51.8,0.350,56.51,0.389,0
