rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
784,0.05,6.896,0.037,6.582,0.035,11.318,0.069,1
784,0.1,19.214,0.116,18.6,0.112,23.62,0.151,1
784,0.15,36.546,0.238,35.796,0.233,40.64,0.272,1
784,0.2,55.142,0.371,54.126,0.365,58.984,0.405,1
784,0.25,71.864,0.496,70.714,0.488,75.544,0.529,1
784,0.3,84.018,0.594,82.704,0.584,87.456,0.625,1
784,0.35,90.012,0.654,88.81,0.645,93.548,0.686,1
784,0.4,93.1,0.691,91.746,0.681,96.48,0.722,1
784,0.45,94.81,0.717,93.304,0.706,98.134,0.747,1
784,0.5,95.728,0.735,94.18,0.723,99.034,0.765,1
784,0.05,6.44,0.034,6.03,0.032,11.02,0.067,0
784,0.1,17.71,0.108,17.16,0.106,22.29,0.146,0
784,0.15,36.71,0.241,36.08,0.238,40.67,0.274,0
784,0.2,54.81,0.374,53.94,0.369,58.47,0.407,0
784,0.25,71.67,0.499,70.42,0.490,75.45,0.533,0
784,0.3,82.87,0.592,81.62,0.584,86.56,0.626,0
784,0.35,89.54,0.653,88.43,0.645,93.16,0.685,0
784,0.4,93.26,0.697,91.62,0.685,96.67,0.727,0
784,0.45,94.76,0.719,93.2,0.708,98.18,0.750,0
784,0.5,96.01,0.739,94.32,0.726,99.14,0.768,0
