rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
100,0.05,3.292,0.016,3.128,0.016,7.83,0.047,1
100,0.1,8.514,0.046,8.166,0.045,12.642,0.077,1
100,0.15,16.198,0.095,15.622,0.092,20.366,0.128,1
100,0.2,26.162,0.163,25.512,0.160,30.218,0.197,1
100,0.25,36.56,0.237,35.786,0.232,40.452,0.269,1
100,0.3,48.492,0.322,47.616,0.317,52.36,0.356,1
100,0.35,59.848,0.406,58.768,0.398,63.4,0.437,1
100,0.4,70.058,0.482,68.968,0.475,73.57,0.513,1
100,0.45,78.088,0.545,76.974,0.537,81.63,0.576,1
100,0.5,84.514,0.599,83.336,0.590,87.964,0.630,1
100,0.05,3.7,0.018,3.47,0.017,8.46,0.051,0
100,0.1,9.03,0.050,8.57,0.048,13.19,0.082,0
100,0.15,15.59,0.094,15.17,0.092,19.8,0.128,0
100,0.2,25.33,0.160,24.69,0.157,29.23,0.193,0
100,0.25,35.64,0.234,34.93,0.230,39.57,0.267,0
100,0.3,47.96,0.323,47.14,0.318,51.86,0.357,0
100,0.35,59.04,0.405,58.25,0.400,62.67,0.437,0
100,0.4,69.77,0.485,68.89,0.480,73.63,0.520,0
100,0.45,78.16,0.550,76.98,0.542,81.53,0.580,0
100,0.5,84.56,0.605,83.41,0.596,87.88,0.634,0
