rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
no_dr,0.01,2.764,0.656,0.969,0.366,0.460,0.962,0.354,0.461,0.969,1
no_dr,0.02,3.096,0.663,0.966,0.712,0.488,0.960,0.686,0.491,0.966,1
no_dr,0.03,3.566,0.664,0.963,1.198,0.507,0.958,1.156,0.510,0.963,1
no_dr,0.04,4.150,0.663,0.961,1.794,0.526,0.956,1.74,0.530,0.961,1
no_dr,0.05,4.718,0.668,0.958,2.376,0.548,0.954,2.308,0.551,0.958,1
no_dr,0.06,5.372,0.672,0.955,3.038,0.567,0.951,2.962,0.570,0.955,1
no_dr,0.07,6.006,0.678,0.951,3.68,0.585,0.948,3.596,0.588,0.951,1
no_dr,0.08,6.786,0.682,0.947,4.464,0.599,0.945,4.376,0.602,0.947,1
no_dr,0.09,7.626,0.685,0.944,5.314,0.612,0.941,5.216,0.615,0.944,1
no_dr,0.1,8.538,0.689,0.940,6.234,0.624,0.938,6.128,0.627,0.940,1
no_dr,0.01,3.510,0.690,0.971,0.4,0.486,0.963,0.39,0.489,0.971,1
no_dr,0.02,4.050,0.689,0.969,0.94,0.512,0.962,0.93,0.513,0.969,1
no_dr,0.03,4.420,0.699,0.967,1.33,0.536,0.961,1.3,0.539,0.967,1
no_dr,0.04,4.810,0.707,0.964,1.72,0.558,0.958,1.69,0.561,0.964,1
no_dr,0.05,5.350,0.708,0.961,2.26,0.572,0.956,2.23,0.574,0.961,1
no_dr,0.06,6.050,0.707,0.959,2.96,0.585,0.955,2.93,0.586,0.959,1
no_dr,0.07,6.550,0.716,0.955,3.46,0.607,0.951,3.43,0.608,0.955,1
no_dr,0.08,7.260,0.718,0.952,4.17,0.620,0.949,4.14,0.621,0.952,1
no_dr,0.09,8.000,0.720,0.948,4.91,0.632,0.945,4.88,0.633,0.948,1
no_dr,0.1,8.700,0.725,0.944,5.62,0.645,0.941,5.58,0.646,0.944,1
