rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
30,0.05,2.882,0.022,2.874,0.022,3.49,0.028,1
30,0.1,8.87,0.074,8.862,0.074,9.444,0.080,1
30,0.15,16.642,0.143,16.618,0.143,17.154,0.148,1
30,0.2,24.512,0.215,24.49,0.215,25.072,0.220,1
30,0.25,33.136,0.293,33.092,0.293,33.648,0.298,1
30,0.3,41.36,0.367,41.32,0.366,41.892,0.372,1
30,0.35,48.426,0.431,48.398,0.431,48.934,0.436,1
30,0.4,54.928,0.490,54.888,0.489,55.49,0.495,1
30,0.45,60.068,0.539,60.002,0.538,60.624,0.544,1
30,0.5,64.724,0.581,64.664,0.581,65.264,0.587,1
30,0.05,3.95,0.031,3.73,0.030,8.18,0.072,0
30,0.1,8.57,0.072,8.38,0.071,12.86,0.114,0
30,0.15,15.26,0.132,14.9,0.129,19.27,0.171,0
30,0.2,21.87,0.192,21.57,0.189,26.04,0.233,0
30,0.25,29.73,0.263,29.31,0.259,33.47,0.300,0
30,0.3,37.0,0.330,36.57,0.326,40.96,0.369,0
30,0.35,44.09,0.396,43.7,0.392,47.92,0.434,0
30,0.4,51.01,0.458,50.59,0.454,54.32,0.490,0
30,0.45,55.32,0.497,54.86,0.493,59.05,0.534,0
30,0.5,59.65,0.536,59.14,0.532,63.49,0.574,0
