30,0.1,14.082,0.316,0.253,0.017,1
30,0.2,14.308,0.638,0.537,0.033,1
30,0.3,14.556,0.992,0.859,0.050,1
30,0.4,14.73,1.314,1.108,0.066,1
30,0.5,14.904,1.64,1.361,0.083,1
30,0.6,15.126,1.966,1.649,0.099,1
30,0.7,15.33,2.294,1.928,0.116,1
30,0.8,15.564,2.656,2.235,0.132,1
30,0.9,15.754,2.978,2.493,0.149,1
30,1.0,15.982,3.322,2.794,0.166,1
30,0.1,12.77,0.26,0.183,0.017,0
30,0.2,12.95,0.52,0.412,0.033,0
30,0.3,13.06,0.82,0.607,0.050,0
30,0.4,13.35,1.18,0.961,0.066,0
30,0.5,13.62,1.65,1.328,0.083,0
30,0.6,13.83,1.98,1.602,0.099,0
30,0.7,14.02,2.26,1.831,0.116,0
30,0.8,14.26,2.64,2.152,0.132,0
30,0.9,14.38,2.96,2.346,0.149,0
30,1.0,14.63,3.28,2.632,0.165,0
