rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
20,0.01,1.544,0.518,1.484,0.522,7.532,0.720,1
20,0.02,3.49,0.570,3.348,0.575,9.396,0.726,1
20,0.03,5.716,0.616,5.494,0.621,11.542,0.734,1
20,0.04,8.314,0.653,7.998,0.657,14.046,0.743,1
20,0.05,11.256,0.681,10.858,0.685,16.906,0.750,1
20,0.06,14.766,0.701,14.29,0.704,20.338,0.755,1
20,0.07,18.512,0.721,17.942,0.724,23.99,0.763,1
20,0.08,22.644,0.736,21.998,0.739,28.046,0.770,1
20,0.09,27.03,0.749,26.292,0.751,32.34,0.777,1
20,0.1,31.556,0.761,30.746,0.763,36.794,0.784,1
20,0.01,1.5,0.520,1.43,0.524,7.21,0.723,0
20,0.02,3.03,0.586,2.91,0.590,8.69,0.742,0
20,0.03,5.16,0.621,4.96,0.625,10.74,0.745,0
20,0.04,7.66,0.658,7.41,0.661,13.19,0.752,0
20,0.05,10.56,0.686,10.29,0.688,16.07,0.758,0
20,0.06,13.85,0.708,13.49,0.711,19.27,0.764,0
20,0.07,17.81,0.724,17.39,0.725,23.17,0.768,0
20,0.08,22.13,0.738,21.67,0.740,27.45,0.773,0
20,0.09,26.23,0.755,25.68,0.756,31.46,0.783,0
20,0.1,30.74,0.766,30.13,0.768,35.91,0.790,0
