rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
no_dr,0.01,2.024,0.648,0.973,0.41,0.492,0.969,0.396,0.495,0.973,1
no_dr,0.02,2.554,0.652,0.970,0.948,0.523,0.966,0.926,0.525,0.970,1
no_dr,0.03,3.176,0.656,0.966,1.576,0.547,0.963,1.548,0.548,0.966,1
no_dr,0.04,3.868,0.664,0.962,2.276,0.573,0.959,2.24,0.575,0.962,1
no_dr,0.05,4.656,0.672,0.957,3.066,0.597,0.955,3.028,0.598,0.957,1
no_dr,0.06,5.684,0.676,0.953,4.104,0.614,0.951,4.056,0.615,0.953,1
no_dr,0.07,6.754,0.685,0.947,5.178,0.633,0.946,5.126,0.634,0.947,1
no_dr,0.08,8.082,0.691,0.942,6.508,0.647,0.941,6.454,0.648,0.942,1
no_dr,0.09,9.578,0.697,0.936,8.008,0.661,0.936,7.95,0.662,0.936,1
no_dr,0.1,11.132,0.706,0.930,9.564,0.676,0.929,9.504,0.676,0.930,1
no_dr,0.01,3.150,0.710,0.975,0.4,0.483,0.969,0.39,0.486,0.975,1
no_dr,0.02,3.760,0.705,0.972,1.02,0.509,0.967,1.0,0.511,0.972,1
no_dr,0.03,4.390,0.707,0.969,1.68,0.541,0.965,1.63,0.545,0.969,1
no_dr,0.04,5.000,0.716,0.965,2.31,0.576,0.962,2.24,0.581,0.965,1
no_dr,0.05,5.890,0.716,0.962,3.2,0.599,0.959,3.13,0.603,0.962,1
no_dr,0.06,6.800,0.719,0.958,4.12,0.621,0.956,4.04,0.624,0.958,1
no_dr,0.07,7.840,0.722,0.954,5.18,0.638,0.952,5.08,0.641,0.954,1
no_dr,0.08,8.960,0.728,0.948,6.3,0.657,0.947,6.2,0.660,0.948,1
no_dr,0.09,10.090,0.736,0.942,7.43,0.676,0.941,7.33,0.678,0.942,1
no_dr,0.1,11.480,0.739,0.936,8.84,0.687,0.936,8.72,0.689,0.936,1
