rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
no_dr,0.01,4.722,0.652,0.959,4.072,0.621,0.958,4.048,0.621,0.959,1
no_dr,0.02,14.698,0.725,0.926,14.06,0.716,0.926,14.024,0.716,0.926,1
no_dr,0.03,31.454,0.773,0.887,30.832,0.770,0.887,30.78,0.770,0.887,1
no_dr,0.04,50.834,0.811,0.853,50.23,0.809,0.854,50.16,0.809,0.853,1
no_dr,0.05,67.520,0.838,0.834,66.922,0.836,0.836,66.846,0.836,0.834,1
no_dr,0.06,78.988,0.860,0.824,78.398,0.859,0.828,78.314,0.859,0.824,1
no_dr,0.07,86.134,0.877,0.807,85.546,0.877,0.814,85.46,0.877,0.807,1
no_dr,0.08,90.992,0.888,0.795,90.406,0.888,0.806,90.318,0.888,0.795,1
no_dr,0.09,94.074,0.897,0.782,93.492,0.897,0.799,93.4,0.897,0.782,1
no_dr,0.1,96.070,0.903,0.772,95.49,0.903,0.798,95.396,0.903,0.772,1
no_dr,0.01,6.410,0.745,0.964,3.6,0.647,0.961,3.49,0.650,0.964,1
no_dr,0.02,15.080,0.757,0.931,12.42,0.720,0.931,12.16,0.723,0.931,1
no_dr,0.03,30.910,0.786,0.891,28.33,0.771,0.893,27.99,0.772,0.891,1
no_dr,0.04,49.930,0.816,0.852,47.35,0.808,0.857,47.01,0.809,0.852,1
no_dr,0.05,67.070,0.841,0.832,64.51,0.836,0.842,64.15,0.836,0.832,1
no_dr,0.06,78.830,0.863,0.820,76.31,0.860,0.836,75.91,0.860,0.820,1
no_dr,0.07,86.540,0.880,0.808,84.03,0.877,0.833,83.62,0.877,0.808,1
no_dr,0.08,91.060,0.893,0.793,88.58,0.891,0.831,88.14,0.891,0.793,1
no_dr,0.09,94.110,0.901,0.780,91.64,0.900,0.835,91.19,0.900,0.780,1
no_dr,0.1,96.190,0.907,0.784,93.74,0.905,0.856,93.27,0.905,0.784,1
