rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
100,0.01,1.128,0.529,1.096,0.532,2.224,0.633,1
100,0.02,2.952,0.606,2.896,0.608,4.022,0.661,1
100,0.03,5.68,0.652,5.592,0.654,6.718,0.685,1
100,0.04,9.536,0.685,9.432,0.686,10.558,0.705,1
100,0.05,14.736,0.711,14.618,0.711,15.744,0.723,1
100,0.06,21.0,0.734,20.878,0.734,22.004,0.743,1
100,0.07,28.336,0.752,28.198,0.752,29.324,0.758,1
100,0.08,35.796,0.770,35.646,0.770,36.772,0.774,1
100,0.09,43.666,0.783,43.504,0.783,44.632,0.786,1
100,0.1,51.206,0.795,51.032,0.795,52.16,0.798,1
100,0.01,1.18,0.532,1.12,0.535,3.7,0.711,0
100,0.02,2.75,0.612,2.64,0.613,5.22,0.727,0
100,0.03,5.24,0.660,5.12,0.660,7.7,0.732,0
100,0.04,8.55,0.689,8.39,0.690,10.97,0.738,0
100,0.05,13.46,0.711,13.26,0.711,15.84,0.743,0
100,0.06,19.83,0.731,19.61,0.731,22.19,0.753,0
100,0.07,26.94,0.752,26.7,0.752,29.28,0.767,0
100,0.08,34.68,0.769,34.4,0.769,36.98,0.780,0
100,0.09,42.03,0.786,41.74,0.786,44.32,0.794,0
100,0.1,49.42,0.798,49.11,0.798,51.69,0.805,0
