rd,Dev,Adv,Wrong,pure_adv,Train 
50,0.1,10.806,3.542,1.432,
50,0.302040816327,12.538,10.222,4.95,
50,0.504081632653,16.16,17.19,9.768,
50,0.70612244898,22.064,24.842,16.23,
50,0.908163265306,30.298,34.214,24.792,
50,1.11020408163,41.134,45.644,35.76,
50,1.31224489796,51.506,56.322,46.158,
50,1.51428571429,59.998,64.938,54.592,
50,1.71632653061,67.036,72.038,61.572,
50,1.91836734694,72.794,77.786,67.234,
50,2.12040816327,77.546,82.494,71.902,
50,2.32244897959,81.428,86.274,75.668,
50,2.52448979592,84.338,89.036,78.412,
50,2.72653061224,86.724,91.316,80.684,
50,2.92857142857,88.742,93.262,82.614,
50,3.1306122449,90.342,94.738,84.084,
50,3.33265306122,91.708,95.99,85.334,
50,3.53469387755,92.75,96.944,86.282,
50,3.73673469388,93.644,97.704,87.042,
50,3.9387755102,94.436,98.364,87.702,
50,4.14081632653,94.998,98.806,88.142,
50,4.34285714286,95.42,99.116,88.452,
50,4.54489795918,95.788,99.39,88.726,
50,4.74693877551,96.104,99.594,88.93,
50,4.94897959184,96.352,99.744,89.08,
50,5.15102040816,96.53,99.81,89.146,
50,5.35306122449,96.702,99.896,89.232,
50,5.55510204082,96.85,99.946,89.282,
50,5.75714285714,96.938,99.97,89.306,
50,5.95918367347,97.028,99.984,89.32,
50,6.1612244898,97.124,99.996,89.332,
50,6.36326530612,97.2,99.998,89.334,
50,6.56530612245,97.27,100.0,89.336,
50,6.76734693878,97.336,100.0,89.336,
50,6.9693877551,97.376,100.0,89.336,
50,7.17142857143,97.438,100.0,89.336,
50,7.37346938776,97.498,100.0,89.336,
50,7.57551020408,97.552,100.0,89.336,
50,7.77755102041,97.598,100.0,89.336,
50,7.97959183673,97.652,100.0,89.336,
50,8.18163265306,97.712,100.0,89.336,
50,8.38367346939,97.756,100.0,89.336,
50,8.58571428571,97.794,100.0,89.336,
50,8.78775510204,97.836,100.0,89.336,
50,8.98979591837,97.882,100.0,89.336,
50,9.19183673469,97.916,100.0,89.336,
50,9.39387755102,97.948,100.0,89.336,
50,9.59591836735,97.97,100.0,89.336,
50,9.79795918367,98.002,100.0,89.336,
50,10.0,98.024,100.0,89.336,
