rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
100,0.01,1.538,0.573,1.51,0.575,2.806,0.677,1
100,0.02,4.062,0.655,4.028,0.656,5.324,0.707,1
100,0.03,8.162,0.702,8.12,0.702,9.416,0.729,1
100,0.04,13.85,0.736,13.792,0.737,15.088,0.752,1
100,0.05,21.796,0.758,21.722,0.758,23.018,0.767,1
100,0.06,31.416,0.777,31.328,0.778,32.624,0.784,1
100,0.07,42.14,0.796,42.04,0.796,43.336,0.800,1
100,0.08,52.468,0.814,52.366,0.814,53.662,0.817,1
100,0.09,61.45,0.831,61.342,0.832,62.638,0.834,1
100,0.1,68.94,0.847,68.82,0.847,70.116,0.849,1
100,0.01,1.57,0.581,1.52,0.585,3.87,0.734,0
100,0.02,3.87,0.664,3.8,0.666,6.15,0.751,0
100,0.03,7.67,0.710,7.55,0.712,9.9,0.760,0
100,0.04,12.58,0.746,12.44,0.747,14.79,0.776,0
100,0.05,20.09,0.760,19.94,0.761,22.29,0.780,0
100,0.06,29.28,0.779,29.12,0.779,31.47,0.792,0
100,0.07,40.32,0.794,40.16,0.794,42.51,0.803,0
100,0.08,51.12,0.812,50.95,0.812,53.3,0.818,0
100,0.09,59.96,0.833,59.77,0.833,62.12,0.837,0
100,0.1,67.39,0.849,67.18,0.849,69.53,0.852,0
