rd,Dev,Adv,Wrong,pure_adv,Train
331,0.1,8.574,4.858,2.594,
331,0.2,9.724,8.04,4.498,
331,0.3,12.042,11.774,7.316,
331,0.4,15.668,16.49,11.31,
331,0.5,21.272,22.94,17.18,
331,0.6,28.502,30.728,24.604,
331,0.7,35.252,37.948,31.5,
331,0.8,40.776,43.752,37.09,
331,0.9,45.748,48.94,42.106,
331,1.0,50.568,53.908,46.956,
rd,Dev,Adv,Wrong,pure_adv,Train 
331,0.1,8.54,4.44,1.74,0
331,0.2,9.63,7.78,3.7,0
331,0.3,11.54,11.35,6.25,0
331,0.4,14.83,16.02,10.05,0
331,0.5,20.23,22.49,15.87,0
331,0.6,26.85,29.8,22.68,0
331,0.7,34.13,37.27,29.96,0
331,0.8,39.85,43.22,35.7,0
331,0.9,44.45,48.08,40.37,0
331,1.0,49.31,53.23,45.33,0
