rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
50,0.01,1.0,0.681,0.9,0.695,2.4,0.849,0
50,0.02,1.9,0.789,1.8,0.794,3.3,0.875,0
50,0.03,3.8,0.797,3.7,0.798,5.2,0.851,0
50,0.04,5.5,0.863,5.4,0.864,6.9,0.891,0
50,0.05,7.9,0.872,7.8,0.872,9.3,0.891,0
50,0.06,11.1,0.900,11.0,0.900,12.5,0.911,0
50,0.07,16.5,0.885,16.4,0.885,17.9,0.894,0
50,0.08,22.4,0.888,22.3,0.888,23.8,0.895,0
50,0.09,27.9,0.908,27.8,0.908,29.3,0.912,0
50,0.1,34.1,0.920,34.0,0.920,35.5,0.923,0
rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
50,0.05,7.9,0.872,7.8,0.872,9.3,0.891,0
50,0.1,34.1,0.920,34.0,0.920,35.5,0.923,0
50,0.15,64.6,0.933,64.5,0.933,66.0,0.935,0
50,0.2,84.4,0.949,84.3,0.949,85.8,0.950,0
50,0.25,92.0,0.948,91.9,0.948,93.4,0.949,0
50,0.3,94.7,0.950,94.4,0.950,95.9,0.950,0
50,0.35,96.3,0.952,95.9,0.952,97.4,0.952,0
50,0.4,96.7,0.943,96.2,0.943,97.7,0.944,0
50,0.45,96.9,0.946,96.4,0.946,97.9,0.947,0
50,0.5,97.3,0.942,96.8,0.942,98.3,0.943,0
