rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
784,0.01,4.084,0.641,4.07,0.642,4.512,0.662,1
784,0.02,14.746,0.737,14.73,0.737,15.172,0.742,1
784,0.03,32.916,0.785,32.89,0.785,33.332,0.787,1
784,0.04,53.882,0.823,53.85,0.823,54.292,0.824,1
784,0.05,69.598,0.856,69.562,0.856,70.004,0.857,1
784,0.06,80.422,0.877,80.382,0.877,80.824,0.877,1
784,0.07,87.618,0.891,87.574,0.891,88.016,0.891,1
784,0.08,92.238,0.901,92.19,0.901,92.632,0.901,1
784,0.09,95.114,0.908,95.06,0.908,95.502,0.908,1
784,0.1,96.86,0.913,96.802,0.913,97.244,0.913,1
784,0.01,3.83,0.675,3.8,0.675,6.09,0.759,0
784,0.02,12.87,0.748,12.82,0.749,15.11,0.778,0
784,0.03,30.77,0.782,30.69,0.782,32.98,0.794,0
784,0.04,51.51,0.819,51.43,0.819,53.72,0.825,0
784,0.05,67.43,0.854,67.34,0.854,69.63,0.857,0
784,0.06,78.01,0.877,77.91,0.877,80.2,0.880,0
784,0.07,85.24,0.892,85.13,0.892,87.42,0.894,0
784,0.08,89.9,0.902,89.79,0.902,92.08,0.903,0
784,0.09,92.91,0.908,92.79,0.908,95.08,0.910,0
784,0.1,95.1,0.912,94.94,0.912,97.23,0.913,0
