331,0.05,7.852,0.068,7.852,0.068,7.858,0.069,1
331,0.1,24.46,0.227,24.46,0.227,24.466,0.227,1
331,0.15,44.452,0.420,44.452,0.420,44.458,0.421,1
331,0.2,61.118,0.585,61.118,0.585,61.124,0.585,1
331,0.25,72.348,0.698,72.348,0.698,72.354,0.698,1
331,0.3,79.462,0.769,79.46,0.769,79.466,0.769,1
331,0.35,84.042,0.815,84.038,0.815,84.044,0.815,1
331,0.4,87.13,0.846,87.126,0.846,87.132,0.846,1
331,0.45,89.096,0.865,89.09,0.865,89.096,0.865,1
331,0.5,90.388,0.877,90.382,0.877,90.388,0.877,1
331,0.05,6.95,0.061,6.93,0.061,7.95,0.071,1
331,0.1,23.07,0.213,23.05,0.213,24.07,0.223,1
331,0.15,43.34,0.409,43.32,0.409,44.34,0.419,1
331,0.2,60.09,0.576,60.06,0.576,61.08,0.586,1
331,0.25,70.85,0.685,70.79,0.684,71.81,0.694,1
331,0.3,78.06,0.757,77.97,0.756,78.99,0.766,1
331,0.35,82.8,0.805,82.67,0.803,83.69,0.813,1
331,0.4,86.01,0.836,85.84,0.834,86.86,0.844,1
331,0.45,88.08,0.858,87.89,0.856,88.91,0.866,1
331,0.5,89.5,0.871,89.29,0.869,90.31,0.879,1
