N_COMP,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
50,0.05,3.442,0.021,3.41,0.020,4.808,0.032,1
50,0.1,11.632,0.080,11.542,0.079,13.146,0.093,1
50,0.15,24.892,0.183,24.802,0.182,26.336,0.196,1
50,0.2,42.476,0.326,42.374,0.326,43.858,0.339,1
50,0.25,59.934,0.475,59.788,0.474,61.334,0.489,1
50,0.3,72.376,0.592,72.25,0.592,73.676,0.605,1
50,0.35,80.876,0.675,80.756,0.674,82.23,0.687,1
50,0.4,86.122,0.733,85.946,0.731,87.462,0.745,1
50,0.45,89.44,0.768,89.27,0.766,90.826,0.781,1
50,0.5,92.168,0.797,91.966,0.795,93.424,0.809,1
50,0.05,3.3,0.020,3.18,0.020,5.97,0.043,0
50,0.1,10.11,0.070,9.97,0.069,13.11,0.098,0
50,0.15,21.53,0.158,21.37,0.156,24.62,0.187,0
50,0.2,40.4,0.308,40.23,0.306,43.11,0.334,0
50,0.25,57.6,0.460,57.41,0.458,60.43,0.487,0
50,0.3,70.81,0.578,70.61,0.577,73.23,0.601,0
50,0.35,79.21,0.666,79.0,0.665,81.9,0.692,0
50,0.4,84.49,0.723,84.27,0.721,87.13,0.748,0
50,0.45,88.08,0.759,87.79,0.757,90.87,0.786,0
50,0.5,91.03,0.792,90.66,0.789,93.68,0.818,0
