rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
331,0.01,2.078,0.584,2.046,0.586,2.778,0.638,1
331,0.02,6.67,0.666,6.612,0.667,7.344,0.686,1
331,0.03,14.254,0.717,14.188,0.718,14.92,0.726,1
331,0.04,25.152,0.754,25.076,0.754,25.808,0.758,1
331,0.05,38.378,0.781,38.292,0.781,39.024,0.784,1
331,0.06,51.57,0.806,51.474,0.806,52.206,0.808,1
331,0.07,62.802,0.828,62.698,0.828,63.43,0.830,1
331,0.08,71.782,0.846,71.668,0.846,72.4,0.847,1
331,0.09,78.746,0.860,78.624,0.860,79.356,0.861,1
331,0.1,84.18,0.870,84.052,0.871,84.784,0.871,1
331,0.01,2.25,0.585,2.13,0.588,4.93,0.731,0
331,0.02,5.95,0.673,5.79,0.673,8.59,0.746,0
331,0.03,12.38,0.721,12.2,0.721,15.0,0.758,0
331,0.04,22.27,0.756,22.05,0.756,24.85,0.775,0
331,0.05,35.62,0.777,35.36,0.777,38.16,0.789,0
331,0.06,49.39,0.801,49.11,0.802,51.91,0.809,0
331,0.07,60.7,0.827,60.38,0.827,63.18,0.832,0
331,0.08,69.4,0.848,69.05,0.848,71.85,0.852,0
331,0.09,76.31,0.862,75.94,0.862,78.74,0.865,0
331,0.1,81.67,0.873,81.28,0.873,84.08,0.875,0
