rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
50,0.01,0.746,0.509,0.716,0.514,2.158,0.644,1
50,0.02,1.894,0.566,1.84,0.569,3.282,0.655,1
50,0.03,3.456,0.608,3.386,0.610,4.828,0.668,1
50,0.04,5.514,0.641,5.42,0.643,6.862,0.682,1
50,0.05,8.102,0.668,7.988,0.669,9.43,0.697,1
50,0.06,11.394,0.687,11.264,0.688,12.706,0.708,1
50,0.07,15.152,0.706,15.01,0.707,16.452,0.722,1
50,0.08,19.73,0.720,19.574,0.721,21.016,0.732,1
50,0.09,24.9,0.733,24.728,0.733,26.17,0.742,1
50,0.1,30.518,0.745,30.33,0.745,31.772,0.752,1
50,0.01,0.82,0.506,0.75,0.517,3.5,0.711,0
50,0.02,1.99,0.567,1.88,0.572,4.63,0.714,0
50,0.03,3.04,0.629,2.9,0.633,5.65,0.735,0
50,0.04,5.0,0.649,4.83,0.651,7.58,0.729,0
50,0.05,7.19,0.673,7.02,0.674,9.77,0.732,0
50,0.06,10.01,0.694,9.82,0.695,12.57,0.737,0
50,0.07,13.71,0.708,13.48,0.708,16.23,0.739,0
50,0.08,17.9,0.722,17.64,0.723,20.39,0.746,0
50,0.09,23.06,0.732,22.78,0.732,25.53,0.750,0
50,0.1,28.18,0.747,27.89,0.747,30.64,0.761,0
