rd,Dev,Adv,Wrong,pure_adv,Train
20,0.1,16.552,14.034,10.674,
20,0.2,16.74,14.272,10.872,
20,0.3,16.95,14.546,11.106,
20,0.4,17.116,14.762,11.284,
20,0.5,17.33,15.066,11.522,
20,0.6,17.534,15.328,11.744,
20,0.7,17.748,15.586,11.968,
20,0.8,17.982,15.904,12.228,
20,0.9,18.162,16.17,12.438,
20,1.0,18.348,16.43,12.65,
rd,Dev,Adv,Wrong,pure_adv,Train 
20,0.1,15.5,13.05,9.07,0
20,0.2,15.64,13.28,9.24,0
20,0.3,15.81,13.5,9.42,0
20,0.4,15.99,13.76,9.63,0
20,0.5,16.18,14.01,9.83,0
20,0.6,16.37,14.32,10.05,0
20,0.7,16.56,14.6,10.26,0
20,0.8,16.76,14.84,10.46,0
20,0.9,16.99,15.15,10.72,0
20,1.0,17.16,15.53,10.95,0
