rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train
10,0.01,6.702,0.661,0.941,0.492,0.453,0.924,0.452,0.462,0.941,1
10,0.02,7.242,0.664,0.938,1.054,0.474,0.923,0.992,0.480,0.938,1
10,0.03,7.792,0.668,0.936,1.634,0.489,0.922,1.542,0.495,0.936,1
10,0.04,8.378,0.672,0.933,2.24,0.506,0.920,2.128,0.511,0.933,1
10,0.05,9.006,0.676,0.930,2.888,0.521,0.919,2.756,0.526,0.930,1
10,0.06,9.666,0.679,0.927,3.564,0.535,0.917,3.416,0.539,0.927,1
10,0.07,10.414,0.681,0.925,4.328,0.547,0.915,4.164,0.551,0.925,1
10,0.08,11.104,0.686,0.921,5.034,0.560,0.913,4.854,0.564,0.921,1
10,0.09,11.924,0.688,0.919,5.864,0.571,0.911,5.674,0.575,0.919,1
10,0.1,12.800,0.690,0.916,6.756,0.581,0.909,6.55,0.585,0.916,1
10,0.01,7.050,0.683,0.943,0.4,0.465,0.927,0.39,0.469,0.943,1
10,0.02,7.570,0.684,0.941,0.94,0.475,0.926,0.91,0.478,0.941,1
10,0.03,8.160,0.685,0.939,1.54,0.491,0.925,1.5,0.493,0.939,1
10,0.04,8.780,0.686,0.937,2.2,0.502,0.924,2.12,0.506,0.937,1
10,0.05,9.420,0.688,0.934,2.86,0.518,0.923,2.76,0.522,0.934,1
10,0.06,10.160,0.690,0.932,3.64,0.531,0.922,3.5,0.536,0.932,1
10,0.07,10.660,0.697,0.929,4.18,0.548,0.919,4.0,0.554,0.929,1
10,0.08,11.280,0.702,0.925,4.82,0.564,0.917,4.62,0.571,0.925,1
10,0.09,11.910,0.707,0.922,5.49,0.577,0.915,5.25,0.584,0.922,1
10,0.1,12.810,0.706,0.919,6.39,0.585,0.913,6.15,0.590,0.919,1
rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
