rd,Dev,Adv,Wrong,pure_adv,Train
100,0.1,9.606,5.942,3.564,
100,0.2,9.882,6.49,3.93,
100,0.3,10.214,7.134,4.37,
100,0.4,10.628,7.858,4.886,
100,0.5,10.996,8.55,5.356,
100,0.6,11.406,9.334,5.902,
100,0.7,11.99,10.264,6.602,
100,0.8,12.49,11.116,7.228,
100,0.9,13.114,12.024,7.944,
100,1.0,13.82,13.024,8.74,
rd,Dev,Adv,Wrong,pure_adv,Train 
100,0.1,9.04,5.45,2.46,0
100,0.2,9.16,5.9,2.7,0
100,0.3,9.33,6.46,3.02,0
100,0.4,9.56,7.12,3.41,0
100,0.5,10.05,7.96,4.03,0
100,0.6,10.39,8.64,4.5,0
100,0.7,10.68,9.43,4.99,0
100,0.8,11.26,10.32,5.67,0
100,0.9,11.92,11.29,6.41,0
100,1.0,12.55,12.36,7.18,0
