rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
20,0.01,0.692,0.483,0.652,0.489,3.062,0.658,1
20,0.02,1.564,0.527,1.488,0.534,3.896,0.664,1
20,0.03,2.664,0.567,2.576,0.571,4.984,0.671,1
20,0.04,4.026,0.597,3.904,0.601,6.312,0.678,1
20,0.05,5.578,0.622,5.434,0.625,7.84,0.685,1
20,0.06,7.602,0.641,7.43,0.643,9.838,0.690,1
20,0.07,9.824,0.661,9.626,0.663,12.034,0.699,1
20,0.08,12.346,0.679,12.122,0.680,14.53,0.709,1
20,0.09,15.372,0.691,15.132,0.693,17.538,0.716,1
20,0.1,18.536,0.705,18.27,0.706,20.676,0.725,1
20,0.01,0.9,0.511,0.85,0.515,3.97,0.689,0
20,0.02,1.68,0.556,1.62,0.558,4.74,0.702,0
20,0.03,2.74,0.589,2.66,0.591,5.78,0.707,0
20,0.04,3.88,0.619,3.72,0.624,6.84,0.717,0
20,0.05,5.3,0.645,5.12,0.648,8.24,0.723,0
20,0.06,6.92,0.665,6.7,0.668,9.82,0.729,0
20,0.07,8.95,0.679,8.73,0.681,11.85,0.730,0
20,0.08,11.32,0.691,11.08,0.692,14.2,0.733,0
20,0.09,13.9,0.705,13.66,0.705,16.78,0.738,0
20,0.1,17.01,0.713,16.77,0.713,19.89,0.740,0
