rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
30,0.01,0.662,0.504,0.632,0.508,2.424,0.650,1
30,0.02,1.518,0.546,1.452,0.550,3.242,0.660,1
30,0.03,2.692,0.582,2.6,0.585,4.39,0.667,1
30,0.04,4.054,0.618,3.956,0.620,5.746,0.680,1
30,0.05,5.8,0.642,5.672,0.644,7.462,0.690,1
30,0.06,7.914,0.662,7.77,0.664,9.56,0.699,1
30,0.07,10.504,0.678,10.35,0.679,12.14,0.706,1
30,0.08,13.504,0.693,13.336,0.694,15.128,0.715,1
30,0.09,16.984,0.706,16.804,0.707,18.596,0.723,1
30,0.1,20.872,0.718,20.676,0.718,22.468,0.731,1
30,0.01,0.67,0.503,0.63,0.505,3.44,0.703,0
30,0.02,1.55,0.545,1.47,0.549,4.28,0.707,0
30,0.03,2.53,0.588,2.42,0.591,5.23,0.713,0
30,0.04,3.85,0.620,3.71,0.623,6.52,0.716,0
30,0.05,5.5,0.649,5.35,0.651,8.16,0.720,0
30,0.06,7.54,0.670,7.3,0.673,10.11,0.726,0
30,0.07,9.66,0.692,9.4,0.694,12.21,0.735,0
30,0.08,12.46,0.704,12.17,0.706,14.98,0.738,0
30,0.09,15.58,0.714,15.25,0.716,18.06,0.742,0
30,0.1,19.08,0.724,18.73,0.726,21.54,0.746,0
