561,0.1,7.9742110621,7.12589073634,6.00210600211,0
561,0.2,19.3417034272,17.2378690193,17.0937170937,0
561,0.3,32.9148286393,30.1662707838,30.7827307827,0
561,0.4,43.7393959959,40.8551068884,41.9445419445,0
561,0.5,51.4082117408,48.320325755,49.7718497718,0
561,0.6,58.0590430947,54.9372242959,56.6514566515,0
561,0.7,64.8795385137,61.6898540889,63.6714636715,0
561,0.8,71.6321683068,68.4424838819,70.6563706564,0
561,0.9,76.8578215134,73.6681370886,76.0617760618,0
561,1.0,81.0654903291,77.8758059043,80.4141804142,0
561,0.1,5.08705114255,4.66539717084,4.66037993713,1
561,0.2,15.4107725789,14.9347116431,15.0061500615,1
561,0.3,27.6115342764,27.1354733406,27.2652726527,1
561,0.4,37.9216539717,37.4455930359,37.6247095804,1
561,0.5,46.2459194777,45.7698585419,45.9887932213,1
561,0.6,54.2573449402,53.7812840044,54.0385403854,1
561,0.7,61.7247007617,61.2486398259,61.5416154162,1
561,0.8,68.5119695321,68.0359085963,68.3613502802,1
561,0.9,74.3471164309,73.8710554951,74.2244089108,1
561,1.0,79.3389553863,78.8628944505,79.2401257346,1
