rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
10,0.05,1.878,0.008,1.704,0.007,11.976,0.062,1
10,0.1,3.946,0.017,3.602,0.016,13.856,0.072,1
10,0.15,6.088,0.027,5.618,0.025,15.748,0.084,1
10,0.2,8.57,0.039,7.94,0.037,18.084,0.096,1
10,0.25,11.142,0.053,10.318,0.050,20.518,0.112,1
10,0.3,14.272,0.069,13.296,0.065,23.426,0.128,1
10,0.35,17.498,0.087,16.432,0.082,26.528,0.146,1
10,0.4,20.726,0.105,19.466,0.100,29.692,0.166,1
10,0.45,24.968,0.130,23.542,0.123,33.624,0.190,1
10,0.5,28.214,0.150,26.716,0.143,36.862,0.210,1
10,0.05,1.74,0.007,1.59,0.007,11.7,0.061,0
10,0.1,4.0,0.017,3.7,0.016,13.19,0.071,0
10,0.15,6.39,0.028,5.84,0.026,15.85,0.083,0
10,0.2,9.1,0.042,8.5,0.040,18.44,0.099,0
10,0.25,11.83,0.056,11.01,0.053,21.49,0.117,0
10,0.3,14.42,0.071,13.38,0.067,23.63,0.132,0
10,0.35,17.96,0.092,16.89,0.087,27.12,0.154,0
10,0.4,21.23,0.109,19.85,0.103,30.09,0.170,0
10,0.45,24.37,0.128,23.09,0.122,33.31,0.190,0
10,0.5,28.05,0.149,26.25,0.141,36.49,0.209,0
