rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
20,0.05,1.684,0.007,1.568,0.007,7.232,0.041,1
20,0.1,3.424,0.016,3.21,0.015,8.914,0.052,1
20,0.15,5.758,0.029,5.406,0.027,11.022,0.065,1
20,0.2,8.382,0.044,7.978,0.042,13.558,0.081,1
20,0.25,11.484,0.063,11.012,0.060,16.502,0.100,1
20,0.3,15.108,0.086,14.494,0.083,19.936,0.122,1
20,0.35,19.44,0.114,18.716,0.110,24.282,0.152,1
20,0.4,23.704,0.143,22.942,0.139,28.492,0.181,1
20,0.45,28.386,0.173,27.546,0.169,33.094,0.211,1
20,0.5,33.284,0.206,32.422,0.201,37.922,0.244,1
20,0.05,1.71,0.008,1.59,0.007,7.28,0.043,0
20,0.1,2.98,0.014,2.83,0.014,7.91,0.048,0
20,0.15,5.43,0.027,5.16,0.026,10.24,0.061,0
20,0.2,8.16,0.043,7.79,0.042,12.63,0.076,0
20,0.25,10.79,0.061,10.33,0.058,15.88,0.099,0
20,0.3,15.02,0.084,14.48,0.082,20.14,0.124,0
20,0.35,19.32,0.114,18.68,0.111,23.98,0.151,0
20,0.4,23.52,0.143,22.83,0.139,28.24,0.180,0
20,0.45,28.16,0.174,27.42,0.170,32.66,0.210,0
20,0.5,31.88,0.202,30.96,0.197,36.52,0.240,0
