rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
331,0.05,38.694,0.305,38.644,0.304,39.362,0.311,1
331,0.1,86.332,0.759,86.238,0.759,87.024,0.766,1
331,0.15,96.582,0.880,96.494,0.879,97.216,0.886,1
331,0.2,98.8,0.909,98.716,0.908,99.422,0.915,1
331,0.25,99.174,0.915,99.078,0.915,99.838,0.922,1
331,0.3,99.384,0.918,99.254,0.917,99.966,0.923,1
331,0.35,99.392,0.916,99.204,0.914,99.988,0.922,1
331,0.4,99.414,0.916,99.218,0.914,99.996,0.922,1
331,0.45,99.454,0.915,99.274,0.913,99.998,0.920,1
331,0.5,99.442,0.914,99.278,0.913,100.0,0.919,1
331,0.05,35.75,0.278,35.6,0.277,38.45,0.304,0
331,0.1,84.22,0.740,83.98,0.738,86.41,0.761,0
331,0.15,95.25,0.867,94.91,0.864,97.51,0.889,0
331,0.2,96.9,0.893,96.35,0.889,99.48,0.919,0
331,0.25,97.56,0.901,97.18,0.898,99.94,0.924,0
331,0.3,97.69,0.904,97.18,0.900,99.97,0.926,0
331,0.35,97.47,0.900,96.81,0.894,99.98,0.923,0
331,0.4,97.81,0.902,97.17,0.896,100.0,0.923,0
331,0.45,97.7,0.901,97.18,0.896,100.0,0.922,0
331,0.5,97.81,0.899,97.27,0.894,100.0,0.919,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
331,0.05,38.284,0.787,38.238,0.787,38.97,0.790,1
331,0.1,86.172,0.879,86.106,0.879,86.838,0.880,1
331,0.15,96.686,0.910,96.6,0.910,97.332,0.911,1
331,0.2,98.776,0.920,98.67,0.920,99.402,0.921,1
331,0.25,99.244,0.923,99.12,0.923,99.852,0.923,1
331,0.3,99.372,0.923,99.238,0.923,99.97,0.923,1
331,0.35,99.404,0.923,99.252,0.923,99.984,0.923,1
331,0.4,99.438,0.922,99.264,0.922,99.996,0.922,1
331,0.45,99.452,0.920,99.266,0.920,99.998,0.921,1
331,0.5,99.458,0.919,99.266,0.919,99.998,0.919,1
331,0.05,35.02,0.781,34.86,0.781,37.66,0.793,0
331,0.1,84.27,0.877,84.01,0.877,86.81,0.879,0
331,0.15,95.03,0.910,94.66,0.911,97.46,0.912,0
331,0.2,97.03,0.921,96.62,0.922,99.42,0.922,0
331,0.25,97.55,0.923,97.07,0.924,99.87,0.924,0
331,0.3,97.69,0.924,97.15,0.925,99.95,0.925,0
331,0.35,97.75,0.924,97.17,0.924,99.97,0.924,0
331,0.4,97.81,0.923,97.19,0.923,99.99,0.924,0
331,0.45,97.86,0.922,97.2,0.922,100.0,0.923,0
331,0.5,97.9,0.921,97.2,0.921,100.0,0.921,0
