rd,Dev,Adv,Wrong,pure_adv,Train 
10,0.1,23.094,6.184,1.962,
10,0.302040816327,24.242,17.27,6.536,
10,0.504081632653,28.244,27.226,12.44,
10,0.70612244898,36.222,38.856,21.398,
10,0.908163265306,45.762,50.376,31.29,
10,1.11020408163,51.57,57.38,37.176,
10,1.31224489796,57.248,63.754,42.714,
10,1.51428571429,62.81,69.558,48.01,
10,1.71632653061,67.868,74.66,52.662,
10,1.91836734694,72.454,79.166,56.834,
10,2.12040816327,76.234,82.748,60.16,
10,2.32244897959,79.386,85.634,62.848,
10,2.52448979592,82.082,87.93,65.01,
10,2.72653061224,84.332,89.81,66.766,
10,2.92857142857,86.178,91.364,68.232,
10,3.1306122449,87.794,92.756,69.522,
10,3.33265306122,89.156,93.88,70.588,
10,3.53469387755,90.4,94.88,71.554,
10,3.73673469388,91.536,95.752,72.406,
10,3.9387755102,92.42,96.438,73.068,
10,4.14081632653,93.3,97.136,73.752,
10,4.34285714286,94.026,97.712,74.318,
10,4.54489795918,94.712,98.2,74.8,
10,4.74693877551,95.22,98.556,75.154,
10,4.94897959184,95.754,98.924,75.518,
10,5.15102040816,96.198,99.232,75.822,
10,5.35306122449,96.586,99.492,76.082,
10,5.55510204082,96.914,99.666,76.254,
10,5.75714285714,97.172,99.808,76.396,
10,5.95918367347,97.384,99.912,76.5,
10,6.1612244898,97.484,99.95,76.538,
10,6.36326530612,97.614,99.988,76.576,
10,6.56530612245,97.69,99.996,76.584,
10,6.76734693878,97.734,100.0,76.588,
10,6.9693877551,97.798,100.0,76.588,
10,7.17142857143,97.848,100.0,76.588,
10,7.37346938776,97.906,100.0,76.588,
10,7.57551020408,97.972,100.0,76.588,
10,7.77755102041,98.034,100.0,76.588,
10,7.97959183673,98.1,100.0,76.588,
10,8.18163265306,98.144,100.0,76.588,
10,8.38367346939,98.186,100.0,76.588,
10,8.58571428571,98.236,100.0,76.588,
10,8.78775510204,98.274,100.0,76.588,
10,8.98979591837,98.326,100.0,76.588,
10,9.19183673469,98.37,100.0,76.588,
10,9.39387755102,98.404,100.0,76.588,
10,9.59591836735,98.44,100.0,76.588,
10,9.79795918367,98.47,100.0,76.588,
10,10.0,98.504,100.0,76.588,
