N_COMP,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
100,0.05,7.63,0.052,7.61,0.052,8.748,0.061,1
100,0.1,29.584,0.222,29.54,0.222,30.67,0.232,1
100,0.15,58.83,0.476,58.774,0.476,60.006,0.487,1
100,0.2,78.74,0.667,78.662,0.667,79.842,0.678,1
100,0.25,88.584,0.770,88.466,0.769,89.676,0.780,1
100,0.3,94.172,0.831,94.03,0.830,95.168,0.840,1
100,0.35,96.438,0.858,96.3,0.857,97.528,0.869,1
100,0.4,97.716,0.875,97.592,0.874,98.758,0.885,1
100,0.45,98.292,0.882,98.088,0.881,99.316,0.892,1
100,0.5,98.5,0.885,98.35,0.883,99.58,0.895,1
100,0.05,7.11,0.050,7.05,0.049,9.61,0.072,0
100,0.1,27.22,0.206,27.1,0.205,29.81,0.230,0
100,0.15,56.86,0.458,56.68,0.457,59.31,0.482,0
100,0.2,76.35,0.649,76.25,0.648,78.87,0.673,0
100,0.25,86.93,0.756,86.72,0.755,89.32,0.779,0
100,0.3,92.54,0.820,92.15,0.817,94.93,0.842,0
100,0.35,95.11,0.849,94.76,0.847,97.33,0.870,0
100,0.4,96.23,0.864,95.92,0.862,98.73,0.888,0
100,0.45,96.8,0.874,96.57,0.872,99.23,0.897,0
100,0.5,97.47,0.874,97.15,0.871,99.56,0.894,0
